Year,League,Series,Team,Wins,Opponent,Opponent_Wins,Favorite,Underdog
2024,NBA,Eastern Conf First Round,Boston Celtics,4,Miami Heat,1,BOS (-10000),MIA (+2000)
2024,NBA,Eastern Conf First Round,Cleveland Cavaliers,4,Orlando Magic,3,CLE (-210),ORL (+180)
2024,NBA,Eastern Conf First Round,Indiana Pacers,4,Milwaukee Bucks,2,IND (-125),MIL (+105)
2024,NBA,Eastern Conf First Round,New York Knicks,4,Philadelphia 76ers,2,NYK (-140),PHI (+120)
2024,NBA,Western Conf First Round,Oklahoma City Thunder,4,New Orleans Pelicans,0,OKC (-700),NOP (+500)
2024,NBA,Western Conf First Round,Dallas Mavericks,4,Los Angeles Clippers,2,DAL (-190),LAC (+165)
2024,NBA,Western Conf First Round,Minnesota Timberwolves,4,Phoenix Suns,0,PHO (-130),MIN (+110)
2024,NBA,Western Conf First Round,Denver Nuggets,4,Los Angeles Lakers,1,DEN (-340),LAL (+280)
2024,NBA,Eastern Conf Semifinals,Indiana Pacers,4,New York Knicks,3,NYK (-260),IND (+220)
2024,NBA,Western Conf Semifinals,Dallas Mavericks,4,Oklahoma City Thunder,2,OKC (-130),DAL (+110)
2024,NBA,Western Conf Semifinals,Minnesota Timberwolves,4,Denver Nuggets,3,DEN (-200),MIN (+170)
2024,NBA,Eastern Conf Semifinals,Boston Celtics,4,Cleveland Cavaliers,1,BOS (-2500),CLE (+1100)
2024,NBA,Eastern Conf Finals,Boston Celtics,4,Indiana Pacers,0,BOS (-900),IND (+600)
2024,NBA,Western Conf Finals,Dallas Mavericks,4,Minnesota Timberwolves,1,MIN (-175),DAL (+155)
2024,NBA,Finals,Boston Celtics,4,Dallas Mavericks,1,BOS (-900),IND (+600)
2023,NBA,Eastern Conf First Round,Miami Heat,4,Milwaukee Bucks,1,MIL (-1200),MIA (+750)
2023,NBA,Eastern Conf First Round,New York Knicks,4,Cleveland Cavaliers,1,CLE (-190),NYK (+170)
2023,NBA,Eastern Conf First Round,Philadelphia 76ers,4,Brooklyn Nets,0,PHI (-1100),BRK (+700)
2023,NBA,Eastern Conf First Round,Boston Celtics,4,Atlanta Hawks,2,BOS (-1600),ATL (+900)
2023,NBA,Western Conf First Round,Denver Nuggets,4,Minnesota Timberwolves,1,DEN (-550),MIN (+425)
